Data;Categoria;Quantidade;Valor
26/01/2023;Despesa;90;4,698.10
25/01/2024;Receita;89;4,099.35
22/02/2024;Receita;83;3,002.89
28/12/2024;Despesa;65;4,607.61
28/03/2023;Despesa;73;1,225.69
15/09/2023;Despesa;36;2,300.20
17/04/2023;Receita;66;1,535.03
27/06/2024;Despesa;91;4,220.55
10/07/2023;Receita;47;2,814.34
03/06/2024;Despesa;28;4,341,02
02/01/2024;Despesa;85;2,822,62
29/12/2024;Despesa;54;2,384,57
2023/17/09;Despesa;85;2,727.01
19/09/2024;Despesa;83;3,876,09
19/08/2023;Despesa;32;2,783.53
08/06/2024;Receita;51;3,359,60
07/02/2023;Despesa;63;4,181.54
18/02/2023;Receita;85;4,220.06
21/12/2023;Despesa;90;4,488.98
30/04/2023;Receita;64;2,017,58
10/04/2024;Receita;48;1,712,29
25/01/2024;Despesa;94;1,844,76
25/05/2024;Receita;60;3,619,24
19/12/2023;Despesa;39;4,227,69
18/05/2023;Despesa;44;4,737,24
24/05/2024;Despesa;41;3,474,74
21/09/2024;Despesa;62;3,200,16
11/09/2023;Receita;66;1,300,96
03/06/2023;Despesa;49;2,089,80
19/05/2024;Despesa;54;1,637,25
12/11/2023;Despesa;65;4,327,75
14/05/2023;Despesa;93;4,393,32
27/03/2024;Despesa;59;4,670,98
09/04/2024;Despesa;27;1,755,15
27/03/2024;Receita;66;3,965,17
04/11/2023;Despesa;100;2,617,21
03/10/2024;Receita;32;1,490,45
31/07/2024;Despesa;39;4,749,60
12/11/2024;Despesa;79;4,046,98
24/03/2023;Receita;97;1,475,51
03/10/2023;Despesa;71;4,896,04
08/03/2023;Receita;72;2,851,24
13/11/2024;Receita;97;4,020,43
30/09/2024;Receita;25;1,470,67
18/05/2023;Receita;64;4,201,97
23/02/2023;Despesa;76;2,789,19
05/03/2023;Despesa;31;3,416,28
12/02/2024;Despesa;22;1,933,28
25/09/2023;Despesa;83;2,130,04
19/11/2024;Despesa;65;2,183,45
